Line no 2: TOKEN <CONST_INT> Lexeme 672 found
Line no 3: TOKEN <CONST_INT> Lexeme 67 found
Line no 3: TOKEN <CONST_INT> Lexeme 2 found
Line no 3: TOKEN <ADDOP> Lexeme - found
Line no 3: TOKEN <CONST_INT> Lexeme 3 found
Line no 4: TOKEN <CONST_INT> Lexeme 11 found
Line no 4: TOKEN <ADDOP> Lexeme - found
Line no 4: TOKEN <CONST_INT> Lexeme 11 found
Line no 6: TOKEN <CONST_INT> Lexeme 2 found
Line no 7: TOKEN <CONST_INT> Lexeme 3 found
Line no 9: TOKEN <CONST_INT> Lexeme 50 found
Line no 10: TOKEN <CONST_INT> Lexeme 0 found
Line no 10: TOKEN <CONST_INT> Lexeme 5 found
Line no 10: TOKEN <CONST_INT> Lexeme 8 found
Line no 10: TOKEN <ADDOP> Lexeme + found
Line no 10: TOKEN <CONST_INT> Lexeme 7 found
Line no 10: TOKEN <ADDOP> Lexeme - found
Line no 10: TOKEN <CONST_INT> Lexeme 2 found
Line no 11: TOKEN <CONST_INT> Lexeme 1 found
Line no 11: TOKEN <CONST_INT> Lexeme 56 found
Line no 11: TOKEN <CONST_INT> Lexeme 28 found
Line no 11: TOKEN <ADDOP> Lexeme + found
Line no 11: TOKEN <CONST_INT> Lexeme 7 found
Line no 11: TOKEN <CONST_INT> Lexeme 2 found
Line no 12: TOKEN <CONST_INT> Lexeme 0 found
Line no 12: TOKEN <ADDOP> Lexeme + found
Line no 12: TOKEN <ADDOP> Lexeme + found
Line no 13: TOKEN <CONST_INT> Lexeme 1 found
Line no 13: TOKEN <ADDOP> Lexeme - found
Line no 13: TOKEN <ADDOP> Lexeme - found
Line no 14: TOKEN <IF> Lexeme if found
Line no 14: TOKEN <CONST_INT> Lexeme 0 found
Line no 14: TOKEN <CONST_INT> Lexeme 2 found
Line no 14: TOKEN <CONST_INT> Lexeme 0 found
Line no 14: TOKEN <CONST_INT> Lexeme 1 found
Line no 15: TOKEN <CONST_INT> Lexeme 1 found
Line no 18: TOKEN <CONST_INT> Lexeme 0 found
